2023-11-08 12:07:19.773+01:00 |      rdp-1 | MainThread | line  76 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | initialized with pyfreerdp version '3.4.2'
2023-11-08 12:07:19.773+01:00 |      rdp-1 | MainThread | line  29 |   DEBUG |                   aiviro.core.services.MaskService | initialized
2023-11-08 12:07:19.773+01:00 |      rdp-1 | MainThread | line  40 |   DEBUG |          aiviro.core.runner_service.ImageCollector | initialized
2023-11-08 12:07:19.774+01:00 |      rdp-1 | MainThread | line  70 |   DEBUG |                 aiviro.core.services.RunnerProcess | initialized, starting
2023-11-08 12:07:19.774+01:00 |      rdp-1 | MainThread | line  82 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | Starting device
2023-11-08 12:07:22.190+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:07:24.047+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:07:24.625+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `add_screen_mask` of `MaskService`
2023-11-08 12:07:24.626+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
2023-11-08 12:07:24.667+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:07:25.250+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:07:26.106+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:07:27.132+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `update_working_area` of `WorkingAreaService`
2023-11-08 12:07:27.132+01:00 |      rdp-1 | MainThread | line 178 |   DEBUG |              aiviro.core.runner.WorkingAreaService | Working area has been set to None
2023-11-08 12:07:27.191+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `update_working_area` of `WorkingAreaService`
2023-11-08 12:07:27.191+01:00 |      rdp-1 | MainThread | line 178 |   DEBUG |              aiviro.core.runner.WorkingAreaService | Working area has been set to None
2023-11-08 12:07:27.388+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `hot_key` of `RDPDeviceV3`
2023-11-08 12:07:28.243+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:07:37.598+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `type_text` of `RDPDeviceV3`
2023-11-08 12:07:37.598+01:00 |      rdp-1 | MainThread | line 158 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | type-text on None
2023-11-08 12:07:44.375+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
